Month,TotalOperations,TotalCancelled,CancelledByPatientReason,ClinicalReason,NonClinicalCapacityReason,OtherReason,PercentCancelled
201505,28810.0,2695.0,1057.0,853.0,523.0,262.0,9.3543908365151
201506,30941.0,2800.0,1194.0,870.0,449.0,287.0,9.049481270805728
201507,27725.0,2642.0,1083.0,854.0,457.0,248.0,9.529305680793508
201508,28948.0,2630.0,1080.0,912.0,491.0,147.0,9.085256321680255
201509,30938.0,2829.0,1122.0,1000.0,535.0,172.0,9.144094640894693
201510,31487.0,3050.0,1198.0,1075.0,582.0,195.0,9.686537301108395
201511,31739.0,3062.0,1265.0,1062.0,582.0,153.0,9.647436907274962
201512,29706.0,2921.0,1211.0,963.0,619.0,128.0,9.833030364236182
201601,28746.0,3197.0,1198.0,1005.0,868.0,126.0,11.121547345717666
201602,31177.0,3225.0,1234.0,1087.0,762.0,142.0,10.344163967026974
201603,32113.0,3232.0,1310.0,1049.0,732.0,141.0,10.064459876062653
201604,29754.0,2807.0,1164.0,1009.0,505.0,129.0,9.43402567721987
201605,30924.0,2849.0,1114.0,989.0,612.0,134.0,9.212909067391022
201606,31785.0,3004.0,1194.0,1037.0,605.0,168.0,9.450998898851658
201607,26018.0,2318.0,983.0,775.0,453.0,107.0,8.909216696133445
201608,31215.0,2879.0,1120.0,985.0,662.0,112.0,9.223129905494154
201609,29574.0,2742.0,1089.0,906.0,618.0,129.0,9.271657537025765
201610,29298.0,2719.0,1011.0,958.0,614.0,136.0,9.280496962249982
201611,31730.0,2871.0,1055.0,1043.0,665.0,108.0,9.04821935077214
201612,27153.0,2738.0,1084.0,920.0,644.0,90.0,10.083600338820757
201701,27879.0,2740.0,1025.0,928.0,704.0,83.0,9.828186089888447
201702,27475.0,2544.0,933.0,946.0,586.0,79.0,9.259326660600546
201703,31796.0,2887.0,1070.0,1105.0,620.0,92.0,9.07975846018367
201704,24491.0,2295.0,898.0,821.0,490.0,86.0,9.370789269527581
201705,29997.0,2630.0,1053.0,1000.0,512.0,65.0,8.767543421008767
201706,29601.0,2604.0,1110.0,958.0,476.0,60.0,8.797000101347928
201707,25188.0,2074.0,849.0,775.0,404.0,46.0,8.234079720501827
201708,30516.0,2578.0,1013.0,966.0,523.0,76.0,8.448027264385896
201709,27840.0,2560.0,943.0,970.0,560.0,87.0,9.195402298850574
201710,28706.0,2435.0,940.0,866.0,557.0,72.0,8.482547202675399
201711,30820.0,2720.0,977.0,995.0,664.0,84.0,8.82543802725503
201712,24624.0,2664.0,935.0,857.0,778.0,94.0,10.818713450292398
201801,27890.0,3423.0,1065.0,996.0,1248.0,114.0,12.273216206525635
201802,26383.0,2719.0,979.0,823.0,711.0,206.0,10.305878785581625
201803,29045.0,3646.0,1122.0,892.0,1201.0,431.0,12.5529351007058
201804,26932.0,2429.0,939.0,836.0,587.0,67.0,9.019010842120897
201805,31207.0,2497.0,1015.0,913.0,489.0,80.0,8.001409940077547
201806,28255.0,2278.0,900.0,895.0,402.0,81.0,8.062289860201734
201807,26204.0,2411.0,979.0,807.0,540.0,85.0,9.200885361013587
201808,30319.0,2601.0,970.0,932.0,585.0,114.0,8.578778983475708
201809,26276.0,2255.0,872.0,873.0,429.0,81.0,8.58197594763282
201810,30557.0,2602.0,986.0,957.0,524.0,135.0,8.515233825310077
201811,29555.0,2909.0,827.0,997.0,996.0,89.0,9.842666215530366
201812,24539.0,2237.0,800.0,831.0,545.0,61.0,9.116100900607197
201901,29271.0,2788.0,1012.0,990.0,637.0,149.0,9.524785623996447
201902,27762.0,2455.0,874.0,879.0,570.0,132.0,8.8430228369714
201903,29646.0,2505.0,934.0,963.0,489.0,119.0,8.449706537138232
201904,27204.0,2310.0,910.0,844.0,492.0,64.0,8.491398323775917
201905,29672.0,2469.0,969.0,920.0,500.0,80.0,8.320976004313831
201906,26941.0,2348.0,892.0,833.0,532.0,91.0,8.715340930180766
201907,26890.0,2345.0,847.0,872.0,544.0,82.0,8.720714020081815
201908,28036.0,2343.0,875.0,803.0,558.0,107.0,8.357112284206021
201909,27704.0,2412.0,903.0,873.0,543.0,93.0,8.706323996534797
201910,29137.0,2481.0,1031.0,881.0,484.0,85.0,8.514946631430826
201911,29766.0,2706.0,903.0,988.0,724.0,91.0,9.090909090909092
201912,25791.0,2617.0,925.0,881.0,729.0,82.0,10.146950486603853
202001,28863.0,2750.0,959.0,915.0,740.0,136.0,9.527769116169491
202002,27645.0,2481.0,899.0,926.0,564.0,92.0,8.974498100922409
202003,20192.0,3019.0,818.0,890.0,1196.0,115.0,14.951465927099841
202004,3406.0,458.0,113.0,170.0,141.0,34.0,13.446858485026425
202005,4120.0,311.0,82.0,161.0,53.0,15.0,7.548543689320389
202006,6984.0,465.0,114.0,242.0,76.0,33.0,6.658075601374571
202007,11224.0,699.0,185.0,345.0,143.0,26.0,6.227726300784034
202008,13831.0,987.0,298.0,468.0,158.0,63.0,7.136143445882438
202009,17056.0,1120.0,326.0,540.0,199.0,55.0,6.566604127579738
202010,18142.0,1370.0,341.0,611.0,366.0,52.0,7.551537867930769
202011,17916.0,1332.0,381.0,552.0,332.0,67.0,7.434695244474213
202012,16740.0,1257.0,319.0,511.0,381.0,46.0,7.508960573476703
202101,11830.0,968.0,287.0,337.0,279.0,65.0,8.182586644125106
202102,12334.0,870.0,299.0,329.0,187.0,55.0,7.053672774444625
202103,17755.0,1111.0,298.0,491.0,283.0,39.0,6.2573922838637
202104,18630.0,1141.0,319.0,518.0,252.0,52.0,6.124530327428878
202105,20081.0,1269.0,367.0,587.0,274.0,41.0,6.319406404063542
202106,22014.0,1643.0,502.0,642.0,417.0,82.0,7.463432361224676
202107,19240.0,1609.0,402.0,527.0,582.0,98.0,8.362785862785863
202108,20531.0,1714.0,505.0,631.0,496.0,82.0,8.348351273683697
202109,17150.0,1544.0,418.0,521.0,507.0,98.0,9.002915451895044
202110,16704.0,1385.0,414.0,518.0,407.0,46.0,8.291427203065133
202111,20587.0,1605.0,523.0,624.0,397.0,61.0,7.796182056637684
202112,17836.0,1462.0,443.0,557.0,394.0,68.0,8.196905135680646
202201,16044.0,1428.0,471.0,511.0,363.0,83.0,8.900523560209423
202202,18802.0,1582.0,556.0,554.0,388.0,84.0,8.413998510796723
202203,22000.0,2109.0,739.0,744.0,553.0,73.0,9.586363636363636
202204,18392.0,1712.0,616.0,567.0,456.0,73.0,9.308394954327968
202205,21895.0,1911.0,665.0,667.0,483.0,96.0,8.728020095912308
202206,21094.0,2000.0,601.0,724.0,569.0,106.0,9.48136910969944
202207,19685.0,1854.0,635.0,633.0,491.0,95.0,9.418338836677673
202208,23626.0,2408.0,708.0,691.0,890.0,119.0,10.19216117836282
